InterfaceID,DateHour,AvgTotalBytes,AvgTotalPackets,AvgAveragebps,AvgOutPercentUtil,AvgInPercentUtil,AvgPercentUtil,MinTotalBytes,MinTotalPackets,MinAveragebps,MinOutPercentUtil,MinInPercentUtil,MinPercentUtil,MaxTotalBytes,MaxTotalPackets,MaxAveragebps,MaxOutPercentUtil,MaxInPercentUtil,MaxPercentUtil,NextHourAlert
9408,10/11/2018 7:00:00 PM,2468496640,4854288,2612150,26.1215,26.1215,26.1215,2468497000,4854288,2612150,26.1215,26.1215,26.1215,2468497000,4854288,2612150,26.1215,26.1215,26.1215,1
9404,10/5/2018 6:00:00 AM,1349255296,3484760,62350.8984375,0.623508984375,0.623508984375,0.623508984375,1349255000,3484760,62350.9,0.623509,0.623509,0.623509,1349255000,3484760,62350.9,0.623509,0.623509,0.623509,0
8069,10/25/2018 11:00:00 PM,421514336,424151,446083.78125,0.08408625,0.00513050546875,0.044608377734375,421514300,424151,446083.8,0.08408625,0.005130506,0.04460838,421514300,424151,446083.8,0.08408625,0.005130506,0.04460838,0
8156,10/30/2018 8:00:00 AM,438582080,492206,463971.21875,0.0895440625,0.003250183984375,0.0463971232421875,438582100,492206,463971.2,0.08954407,0.003250184,0.04639712,438582100,492206,463971.2,0.08954407,0.003250184,0.04639712,0
8084,10/31/2018 9:00:00 AM,162971808,345648,172439.28125,0.028889878125,0.00559797890625,0.017243928515625,162971800,345648,172439.3,0.02888988,0.005597979,0.01724393,162971800,345648,172439.3,0.02888988,0.005597979,0.01724393,0
9370,10/18/2018 7:00:00 AM,14560692224,12324566,17986586,3.4717804,0.1255366875,1.79865854375,14560690000,12324570,17986590,3.47178,0.1255367,1.798658,14560690000,12324570,17986590,3.47178,0.1255367,1.798658,0
9408,10/29/2018 10:00:00 PM,2135604224,3377972,2259857,22.59857,22.59857,22.59857,2135604000,3377972,2259857,22.59857,22.59857,22.59857,2135604000,3377972,2259857,22.59857,22.59857,22.59857,0
9408,10/30/2018 1:00:00 PM,2618629120,5577490,2949121.5,29.491215,29.491215,29.491215,2618629000,5577490,2949122,29.49121,29.49121,29.49121,2618629000,5577490,2949122,29.49121,29.49121,29.49121,1
9369,10/16/2018 10:00:00 AM,97919496,16393152,8002078,80.02078,80.02078,80.02078,97919500,16393150,8002078,80.02078,80.02078,80.02078,97919500,16393150,8002078,80.02078,80.02078,80.02078,0
7276,10/30/2018 3:00:00 PM,4742038016,4926706,5017928,0.9532143,0.0503712625,0.50179278125,4742038000,4926706,5017928,0.9532143,0.05037126,0.5017928,4742038000,4926706,5017928,0.9532143,0.05037126,0.5017928,0
8149,10/31/2018 1:00:00 AM,3385365504,8175262,3578017,0.29801245,0.417590975,0.3578017125,3385366000,8175262,3578017,0.2980124,0.417591,0.3578017,3385366000,8175262,3578017,0.2980124,0.417591,0.3578017,0
