NodeID,Vendor,Location,IOSVersion,SystemUpTime,ResponseTime,PercentLoss,AvgResponseTime,MinResponseTime,MaxResponseTime,CPUCount,CPULoad,MemoryUsed,MemoryAvailable,PercentMemoryUsed,PercentMemoryAvailable,MachineType,IsServer,TotalMemory,SumTriggers
1796,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",13343860,0,0,1,0,8,8,1,31033618432,3.325651E+09,90,10,"Windows 2016 Server",True,3.435927E+10,55078
1795,net-snmp,Unknown,,6494157.5,0,0,0,0,1,4,1,4600385536,3.77047E+09,54,46,"net-snmp - Linux",True,8.370856E+09,294
1555,Windows,AUS,"6.1 (Build 7600 Multiprocessor Free)",192370,6,0,1,0,6,2,0,1176023040,9.70994E+08,54,46,"Windows 2008 R2 Server",True,2.147017E+09,3717
1804,Windows,COR,"10.0 (Build 14393 Multiprocessor Free)",1608456,198,0,177,140,198,32,3,12996595712,5.562468E+10,18,82,"Windows 2016 Server",True,6.862127E+10,851
1782,Cisco,AUS-Dev,"7.0(3)I4(7) RELEASE SOFTWARE Copyright (c) 2002-2013 by Cisco Systems Inc. Compiled 6/28/2017 13:00:00",28996100,0,0,0,0,2,1,12,5032464384,1.176257E+10,29,71,"Nexus 9372TX",False,1.679503E+10,18
1760,Windows,AUS,"6.3 (Build 9600 Multiprocessor Free)",949823,1,0,0,0,2,24,62,8841084928,5.981211E+10,12,88,"Windows 2012 R2 Server",True,6.86532E+10,10228
1801,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",1240520,0,0,0,0,1,2,0,1535565824,2.75893E+09,35,65,"Windows 2016 Server",True,4.294496E+09,140
1783,Cisco,AUS-Dev,"7.0(3)I4(7) RELEASE SOFTWARE Copyright (c) 2002-2013 by Cisco Systems Inc. 6/28/2017 13:00:00",28995324,0,0,0,0,3,1,11,5028950016,1.176621E+10,29,71,"Nexus 9372TX",False,1.679516E+10,72
1794,Windows,AUS,"6.3 (Build 9600 Multiprocessor Free)",283018,1,0,1,1,1,8,5,5051924480,1.212741E+10,29,71,"Windows 2012 R2 Server",True,1.717933E+10,818
1810,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",964343,0,0,0,0,4,10,64,18206408704,3.267891E+09,84,16,"Windows 2016 Server",True,2.14743E+10,2966
